"filename", "language", "JavaScript", "JSON with Comments", "XML", "Markdown", "CSS", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 16, 39
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\capacitor.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 4, 3, 15
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\next.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 57, 0, 1, 58
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\diagnosis illustration.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\email.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\forward_arrows.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\googleIcon.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\lock_icon.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\logo.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\medicalConsultationService.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\name_icon.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\padlock.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\proceed_100.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\proceed_33.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\proceed_67.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\symptomDiagnosisService.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\themeaccount.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\themechats.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\public\themehome.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
